year,rape_rate,station
2009/2010,446,Inanda
2010/2011,377,Inanda
2011/2012,337,Inanda
2012/2013,348,Inanda
2013/2014,297,Inanda
2014/2015,274,Inanda
2015/2016,272,Inanda
2016/2017,309,Inanda
2017/2018,278,Inanda
2018/2019,338.0,Inanda
2009/2010,123,Lusikisiki
2010/2011,121,Lusikisiki
2011/2012,124,Lusikisiki
2012/2013,127,Lusikisiki
2013/2014,155,Lusikisiki
2014/2015,137,Lusikisiki
2015/2016,138,Lusikisiki
2016/2017,139,Lusikisiki
2017/2018,191,Lusikisiki
2018/2019,280.0,Lusikisiki
2009/2010,256,Thohoyandou
2010/2011,261,Thohoyandou
2011/2012,275,Thohoyandou
2012/2013,242,Thohoyandou
2013/2014,246,Thohoyandou
2014/2015,269,Thohoyandou
2015/2016,230,Thohoyandou
2016/2017,183,Thohoyandou
2017/2018,225,Thohoyandou
2018/2019,268.0,Thohoyandou
2009/2010,410,Umlazi
2010/2011,356,Umlazi
2011/2012,403,Umlazi
2012/2013,339,Umlazi
2013/2014,298,Umlazi
2014/2015,305,Umlazi
2015/2016,284,Umlazi
2016/2017,262,Umlazi
2017/2018,252,Umlazi
2018/2019,262.0,Umlazi
2009/2010,157,Delft
2010/2011,167,Delft
2011/2012,167,Delft
2012/2013,190,Delft
2013/2014,164,Delft
2014/2015,174,Delft
2015/2016,164,Delft
2016/2017,158,Delft
2017/2018,196,Delft
2018/2019,224.0,Delft
2009/2010,293,Nyanga
2010/2011,293,Nyanga
2011/2012,306,Nyanga
2012/2013,309,Nyanga
2013/2014,230,Nyanga
2014/2015,202,Nyanga
2015/2016,247,Nyanga
2016/2017,256,Nyanga
2017/2018,210,Nyanga
2018/2019,217.0,Nyanga
2009/2010,196,Mthatha
2010/2011,218,Mthatha
2011/2012,212,Mthatha
2012/2013,268,Mthatha
2013/2014,46,Mthatha
2014/2015,222,Mthatha
2015/2016,217,Mthatha
2016/2017,227,Mthatha
2017/2018,222,Mthatha
2018/2019,204.0,Mthatha
2009/2010,199,Orange Farms
2010/2011,181,Orange Farms
2011/2012,186,Orange Farms
2012/2013,161,Orange Farms
2013/2014,138,Orange Farms
2014/2015,159,Orange Farms
2015/2016,150,Orange Farms
2016/2017,173,Orange Farms
2017/2018,176,Orange Farms
2018/2019,204.0,Orange Farms
2009/2010,185,Empangeni
2010/2011,191,Empangeni
2011/2012,194,Empangeni
2012/2013,234,Empangeni
2013/2014,227,Empangeni
2014/2015,210,Empangeni
2015/2016,185,Empangeni
2016/2017,195,Empangeni
2017/2018,186,Empangeni
2018/2019,202.0,Empangeni
2009/2010,146,Ivory Park
2010/2011,159,Ivory Park
2011/2012,159,Ivory Park
2012/2013,122,Ivory Park
2013/2014,150,Ivory Park
2014/2015,205,Ivory Park
2015/2016,196,Ivory Park
2016/2017,182,Ivory Park
2017/2018,169,Ivory Park
2018/2019,187.0,Ivory Park
2009/2010,262,Mankweng
2010/2011,253,Mankweng
2011/2012,284,Mankweng
2012/2013,283,Mankweng
2013/2014,225,Mankweng
2014/2015,207,Mankweng
2015/2016,211,Mankweng
2016/2017,200,Mankweng
2017/2018,166,Mankweng
2018/2019,186.0,Mankweng
2009/2010,370,Ntuzuma
2010/2011,238,Ntuzuma
2011/2012,195,Ntuzuma
2012/2013,204,Ntuzuma
2013/2014,185,Ntuzuma
2014/2015,178,Ntuzuma
2015/2016,139,Ntuzuma
2016/2017,147,Ntuzuma
2017/2018,144,Ntuzuma
2018/2019,186.0,Ntuzuma
2009/2010,180,Mfuleni
2010/2011,157,Mfuleni
2011/2012,149,Mfuleni
2012/2013,121,Mfuleni
2013/2014,144,Mfuleni
2014/2015,122,Mfuleni
2015/2016,130,Mfuleni
2016/2017,183,Mfuleni
2017/2018,126,Mfuleni
2018/2019,182.0,Mfuleni
2009/2010,264,Temba
2010/2011,271,Temba
2011/2012,250,Temba
2012/2013,232,Temba
2013/2014,231,Temba
2014/2015,182,Temba
2015/2016,175,Temba
2016/2017,194,Temba
2017/2018,177,Temba
2018/2019,180.0,Temba
2009/2010,204,Dobsonville
2010/2011,215,Dobsonville
2011/2012,191,Dobsonville
2012/2013,170,Dobsonville
2013/2014,165,Dobsonville
2014/2015,156,Dobsonville
2015/2016,157,Dobsonville
2016/2017,200,Dobsonville
2017/2018,182,Dobsonville
2018/2019,179.0,Dobsonville
2009/2010,380,Plessislaer
2010/2011,317,Plessislaer
2011/2012,307,Plessislaer
2012/2013,279,Plessislaer
2013/2014,212,Plessislaer
2014/2015,219,Plessislaer
2015/2016,234,Plessislaer
2016/2017,179,Plessislaer
2017/2018,177,Plessislaer
2018/2019,179.0,Plessislaer
2009/2010,199,Mamelodi East
2010/2011,150,Mamelodi East
2011/2012,139,Mamelodi East
2012/2013,147,Mamelodi East
2013/2014,107,Mamelodi East
2014/2015,103,Mamelodi East
2015/2016,115,Mamelodi East
2016/2017,115,Mamelodi East
2017/2018,148,Mamelodi East
2018/2019,175.0,Mamelodi East
2009/2010,199,Kraaifontein
2010/2011,207,Kraaifontein
2011/2012,184,Kraaifontein
2012/2013,157,Kraaifontein
2013/2014,124,Kraaifontein
2014/2015,145,Kraaifontein
2015/2016,139,Kraaifontein
2016/2017,122,Kraaifontein
2017/2018,154,Kraaifontein
2018/2019,173.0,Kraaifontein
2009/2010,157,Thabong
2010/2011,170,Thabong
2011/2012,220,Thabong
2012/2013,264,Thabong
2013/2014,282,Thabong
2014/2015,227,Thabong
2015/2016,198,Thabong
2016/2017,195,Thabong
2017/2018,155,Thabong
2018/2019,172.0,Thabong
2009/2010,171,Kagiso
2010/2011,138,Kagiso
2011/2012,153,Kagiso
2012/2013,137,Kagiso
2013/2014,144,Kagiso
2014/2015,171,Kagiso
2015/2016,161,Kagiso
2016/2017,195,Kagiso
2017/2018,210,Kagiso
2018/2019,171.0,Kagiso
2009/2010,221,Jouberton
2010/2011,234,Jouberton
2011/2012,265,Jouberton
2012/2013,264,Jouberton
2013/2014,291,Jouberton
2014/2015,248,Jouberton
2015/2016,176,Jouberton
2016/2017,203,Jouberton
2017/2018,178,Jouberton
2018/2019,170.0,Jouberton
2009/2010,223,Moroka
2010/2011,207,Moroka
2011/2012,207,Moroka
2012/2013,158,Moroka
2013/2014,169,Moroka
2014/2015,164,Moroka
2015/2016,137,Moroka
2016/2017,168,Moroka
2017/2018,142,Moroka
2018/2019,168.0,Moroka
2009/2010,0,Diepsloot
2010/2011,37,Diepsloot
2011/2012,120,Diepsloot
2012/2013,109,Diepsloot
2013/2014,163,Diepsloot
2014/2015,115,Diepsloot
2015/2016,133,Diepsloot
2016/2017,154,Diepsloot
2017/2018,149,Diepsloot
2018/2019,162.0,Diepsloot
2009/2010,228,Seshego
2010/2011,199,Seshego
2011/2012,212,Seshego
2012/2013,222,Seshego
2013/2014,171,Seshego
2014/2015,174,Seshego
2015/2016,166,Seshego
2016/2017,144,Seshego
2017/2018,151,Seshego
2018/2019,159.0,Seshego
2009/2010,192,Bloemspruit
2010/2011,215,Bloemspruit
2011/2012,228,Bloemspruit
2012/2013,250,Bloemspruit
2013/2014,286,Bloemspruit
2014/2015,243,Bloemspruit
2015/2016,195,Bloemspruit
2016/2017,132,Bloemspruit
2017/2018,152,Bloemspruit
2018/2019,157.0,Bloemspruit
2009/2010,217,Tsakane
2010/2011,222,Tsakane
2011/2012,210,Tsakane
2012/2013,159,Tsakane
2013/2014,168,Tsakane
2014/2015,146,Tsakane
2015/2016,166,Tsakane
2016/2017,164,Tsakane
2017/2018,167,Tsakane
2018/2019,155.0,Tsakane
2009/2010,218,Harare
2010/2011,237,Harare
2011/2012,227,Harare
2012/2013,213,Harare
2013/2014,196,Harare
2014/2015,174,Harare
2015/2016,164,Harare
2016/2017,162,Harare
2017/2018,156,Harare
2018/2019,152.0,Harare
2009/2010,150,Calcutta
2010/2011,134,Calcutta
2011/2012,139,Calcutta
2012/2013,194,Calcutta
2013/2014,149,Calcutta
2014/2015,148,Calcutta
2015/2016,165,Calcutta
2016/2017,108,Calcutta
2017/2018,149,Calcutta
2018/2019,151.0,Calcutta
2009/2010,103,Ngqeleni
2010/2011,132,Ngqeleni
2011/2012,139,Ngqeleni
2012/2013,104,Ngqeleni
2013/2014,145,Ngqeleni
2014/2015,201,Ngqeleni
2015/2016,201,Ngqeleni
2016/2017,133,Ngqeleni
2017/2018,143,Ngqeleni
2018/2019,147.0,Ngqeleni
2009/2010,76,Boitekong
2010/2011,128,Boitekong
2011/2012,118,Boitekong
2012/2013,166,Boitekong
2013/2014,157,Boitekong
2014/2015,151,Boitekong
2015/2016,143,Boitekong
2016/2017,171,Boitekong
2017/2018,141,Boitekong
2018/2019,146.0,Boitekong
